corrupt;yozlaşmış
abscission layer;absisyon tabaka
abscission;kesilme
abscond;kaçmak
absconder;kaçak
absconding swarm;kaçma sürüsü
absence;yokluk
absent oneself;bulunmamak
absent without leave;asker kaçağı
absent;yok
absent-minded;dalgın
absent-mindedness;dalgınlık
absentee;gelmeyen kimse
absenteeism;devamsızlık
absentminded;dalgın
absentmindedness;dalgınlık
absinth;pelin
absolute alcohol;saf alkol
absolute ceiling;mutlak tavan
absolute deviation;mutlak sapma
absolute forest land;Mutlak orman arazisi
absolute humidity;mutlak nem
absolute majority;salt çoğunluk
absolute monarchy;mutlak monarşi
absolute nonsense;saçmalığın dik âlâsı
absolute scale;mutlak ölçek
absolute temperature;mutlak sıcaklık
absolute unit;mutlak ünite
absolute value;mutlak değer
absolute zero;tamamen sıfır
absolute;kesin
absolutely;kesinlikle
absoluteness;mutlakıyetin
absolution;günahların bağışlanması
absolutism;mutlâkiyet
absolutist;mutlâkiyetçi
absolve;affetmek
absonant;akla uygun olmayan
absorb;emmek
absorbable;emilebilir
absorbency;emicilik
absorbent cotton;hidrofil pamuk
absorbent;emici
absorber;soğurucu
absorbing loss;emici zarar
absorbing;emici
absorption coefficient;emme katsayısı
absorption factor;emme faktörü
absorption terrace;emilim teras
absorption;emme
absorptive outlet;emici çıkış
absorptive power;emici güç
absorptive;emici
absorptivity;emicilik
abstain from;kaçınmak
abstain;kaçınmak
abstemious;kanaatkâr
abstemiously;abstemiously
abstention from voting;çekimserlik
abstention;kaçınma
absterge;absterge
abstinence;kaçınma
abstinent;kanaatkâr
abstract mathematics;kuramsal matematik
abstract noun;soyut isim
abstract number;soyut sayı
abstract;soyut
abstracted;soyutlanmış
abstractedness;dalgınlık
abstraction;soyutlama
abstractly;soyut
abstruse;derin
abstruseness;abstruseness
absurd;saçma
absurdity;anlamsızlık
absurdly;saçma
absurdness;akılsızlık
abundance;bolluk
abundant;bol
abundantly;bolca
abuse;taciz
abusive;küfürlü
abut;dayanmak
abutment;dayanak
abutting;bitişik
abysm;uçurum
abysmal;dipsiz
abyss;Uçurum
abyssal fauna;abisal faunası
abyssal plain;abisal ova
abyssal rocks;abisal kayaçlar
abyssal zone;abisal bölge
abyssal;abisal
Abyssinia;Habeşistan
Abyssinian;Habeş
acacia;akasya
academic degree;akademik derece
academic staff;akademik Personel
academic year;akademik yıl
academic;akademik
academician;akademisyen
Academy of Fine Arts;Güzel Sanatlar Akademisi
academy;akademi
acalcerosis;acalcerosis
acalycine;acalycine
acanthite;acanthite
acanthus;kenger yaprağı şekli
acappella;a capella
acaricide;akarisit
acarid;kene
acaroid;acaroid
accede;razı olmak
accelerando;accelerando
accelerate;hızlandırmak
accelerated particle;hızlandırılmış parçacık
accelerated;hızlandırılmış
accelerating;hızlanan
acceleration of free fall;serbest düşme ivmesi
acceleration of gravity;yerçekimi ivmesi
acceleration;hızlanma
accelerative;accelerative
accelerator pedal;gaz pedalı
accelerator;hızlandırıcı
acceleratory;acceleratory
accelerometer;ivmeölçer
accent;Aksan
accentuate;vurgulamak
accentuation;vurgulama
accept the charges;Ödemeyi kabul
accept;kabul etmek
acceptability;kabul edilebilirlik
acceptable;kabul edilebilir
acceptance credit;kabul edilen kredi
acceptance;kabul
acceptation;acceptation
acception;kabul edilme hali
acceptor;akseptör
access arm;erişim kolu
access gallery;erişim galeri
access hatchway;erişim hatchway
access ramp;erişim rampası
access shaft;erişim şaftı
access time;erişim zamanı
access;erişim
accessibility;ulaşılabilirlik
accessible;ulaşılabilir
accession record;katılım rekoru
accession to power;iktidara gelme
accession treaty;katılım anlaşmasının
accession;katılım
accessories;Aksesuarlar
accessory after the fact;yataklık eden kimse
accessory before the fact;azmettiren kimse
accessory box;aksesuar kutusu
accessory bud;aksesuar tomurcuk
accessory mineral;Tali mineral
accessory verb;aksesuar fiil
accessory;aksesuar
accidence;yapıbilim
accident insurance;kaza sigortası
accident protection;kaza koruma
accident;kaza
accident-prone;kazaya eğilimli
accidental error;kazara hata
accidental;tesadüfi
accidentally;kazara
acclaim;alkış
acclamation;alkış
acclimate;ortama alıştırmak
acclimation;iklime alıştırma
acclimatization;iklime alıştırma
acclimatize;iklime alıştırmak
acclivity;bayır
accolade;rabıta
accommodate;Karşılamak
accommodating;uzlaşmacı
accommodation allowance;konaklama indirimi
accommodation bill;hatır senedi
accommodation capacity;konaklama kapasitesi
accommodation draft;hatır senedi
accommodation ladder;borda iskelesi
accommodation train;dilenci katarı
accommodation;Konaklama
accommodations;konaklama
accompanied by;eşliğinde
accompaniment;eşlik
accompanist;akompanist
accompany;eşlik etmek
accomplice;suç ortağı
accomplish;başarmak
accomplished;başarılı
accomplishment;başarı
accord with;ile anlaşması
accord;anlaşma
accordance;uyum
according as;buna göre
according to Hoyle;Hoyle göre
according to one's lights;Kişinin yargılarına göre
according to;göre
according;göre
accordingly;göre
accordion;akordeon
accost;asılmak
accouchement;doğum
accoucheur;doğum doktoru
account balance;hesap bakiyesi
account book;hesap kitabı
account deficit;işlemler açığı
account for;hesap için
account holder;hesap sahibi
account statement;hesap ekstresi
account;hesap
accountability;Hesap verebilirlik
accountable;sorumlu
accountancy;muhasebe
accountant;Muhasebeci
accountant's office;Muhasebecinin ofisi
accounting department;Muhasebe Departmanı
accounting;muhasebe
accounts payable;ödenebilir hesaplar
accounts receivable;alacak hesapları
accouter;accouter
accouterments;accouterments
Accra;Akra
accredit;itibar etmek
accredited journalist;akredite gazeteci
accredited;resmen tanınmış
accrescent;oluksuz
accrete;artmak
accretion;büyüme
accrual;büyüme
accrue;tahakkuk
accrued interest;gerçekleşen faiz
accrued liabilities;tahakkuk eden borçlar
acculturation;kültürleşme
accumulate;biriktirmek
accumulation of capital;sermaye birikimi
accumulation;birikim
accumulative;birikmiş
accumulator;akümülatör
accuracy;doğruluk
accurate;DOĞRU
accurately;tam olarak
accursed;lanetli
accusation;suçlama
accusative;ismin -i hali
accuse;suçlamak
accused;sanık
accuser;suçlayan kimse
accusing;itham
accustom oneself;kendini alıştırmak
accustom;alıştırmak
accustomed;alışık
ace;as
acedia;acedia
acentric;acentric
acephalous;başsız
acerb;acerb
acerbate;acılaştırmak
acerbity;acılık
acetabulum;çanakçık
acetal;asetal
acetaldehyde;asetaldehit
acetamide;asetamit
acetanilide;asetanelit
acetate;asetat
acetic acid;asetik asit
acetic anhydride;asetik anhidrit
acetic ester;asetik ester
acetic fermentation;asetik fermentasyon
acetic;asetik
acetification;acetification
acetify;ekşimek
acetin;acetin
acetone;aseton
acetous;sirke asit
acetyl bromide;asetil bromid
acetyl cellulose;asetil selüloz
acetyl chloride;asetil klorür
acetyl coenzyme;asetil koenzim
acetyl;asetil
acetylate;asetilat
acetylation;asetillendirme
acetylene;asetilen
acetylsalicylic acid;asetilsalisilik asit
acetylsalicylic;asetilsalisilik
achaean;achaean
achaian;achaian
ache;ağrı
achene;aken
achievable;elde
achieve;başarmak
achievement test;başarı testi
achievement;başarı
achilles' tendon;Aşil tendonu
achondroplasia;akondroplazik
achromatic lens;akromatik lens
achromatic;akromatik
achromatism;achromatism
achromatopsia;achromatopsia
acicular;iğnemsi
acid bath;asit banyosu
acid rain;asit yağmuru
acid salt;asit tuzu
acid soil;asit toprak
acid solution;asit çözeltisi
acid test;asit testi
acid value;asit değeri
acid;asit
acid-base equilibrium;asit-baz dengesi
acid-fast;asit-hızlı
acid-free;asitsiz
acid-proof;aside dayanıklı
acid-resisting;aside dayanıklı
acidic oxides;asidik oksitler
acidic rocks;asidik kayaçlar
acidic;asidik
acidifiable;acidifiable
acidification;asitleştirme
acidifier;asitlendinci
acidify;ekşitmek
acidimeter;acidimeter
acidimetry;Asidimetri
acidity;asidite
acidosis;asidoz
acidulate;acidulate
acidulous;mayhoş
aciform;aciform
ack-ack;Uçaksavar
acknowledge;kabul
acknowledged;tanınan
acknowledgment;alındı
aclinic;bir klinik
acme;doruk
acne;akne
aconite;kurtboğan
aconitine;akonitin
acorn;meşe palamudu
acoustic nerve;duyma siniri
acoustic power;akustik güç
acoustic shadow;akustik gölge
acoustic;akustik
acoustical;akustik
acoustics;akustik
acquaint oneself with;ile kendini tanıtmak
acquaint;tanıtmak
acquaintance;tanıdık
acquaintanceship;tanışıklık
acquainted;tanışık
acquiesce;karşı çıkmamak
acquiescence;uysallık
acquiescently;uysallıkla
acquire;kazanmak
acquired characteristics;edinilen özellikler
acquired immunity;Edinilmiş bağışıklık
acquired right;edinilen hakkı
acquired taste;sonradan beğenilen tad
acquired;Edinilen
acquirement;edinilen şey
acquisition;edinme
acquisitive;paragöz
acquit oneself;yerine getirmek
acquit;aklamak
acquittal;beraat
acquittance;ibraname
acre;dönümlük
acreage;yüzölçümü
acrid;buruk
acridine dye;akridin boya
acridine;akridin
acriflavine;akriflavin
acrimonious;hırçın
acrimony;hırçınlık
acrobat;akrobat
acrobatic;akrobatik
acrobatics;akrobasi
acrolein;akrolein
acromion;acromion
acronym;kısaltması
acropolis;akropol
across the board;yönüyle
across;karşısında
acrostic;akrostiş
acrylic acid;akrilik asit
acrylic ester;akrilik ester
acrylic plastic;akrilik plastik
acrylic resin;akrilik reçine
acrylic;akrilik
acrylonitrile;akrilonitril
act as;gibi davran
act by a majority;çokluğu ile hareket
act of bankruptcy;iflas işlemi
act of god;Tanrının hareketi
act of grace;bağışlama
act of war;savaş nedeni
act out;dışa vurmak
act up;yaramazlık etmek
act;davranmak
actant;hareket edenden
actantial;actantial
actin;aktin
acting;oyunculuk
actinic balance;aktinik denge
actinic rays;aktinik ışınları
actinic spectrum;aktinik spektrum
actinic;aktinik
actinide series;Aktinitlerde serisi
actinide;Aktinitlerde
actinism;actinism
actinium series;aktinyum serisi
actinium;aktinyum
actinolite;aktinolit
actinometer;actinometer
actinometric;actinometric
actinometrical;actinometrical
actinometry;actinometry
actinomorphic;actinomorphic
actinon;actinon
action committee;faaliyet komitesi
action for annulment;iptal davası
action for damages;tazminat davası
action in ejectment;MISIR ŞİİRİ eylem
action;aksiyon
actionable;dava edilebilir
actionless;eylemsiz
activate;etkinleştirmek
activated carbon;aktif karbon
activated;aktive
activation energy;aktivasyon enerjisi
activation;etkinleştirme
activator;aktivatör
active electrode;aktif elektrot
active immunity;aktif bağışıklık
active manager;aktif yöneticisi
active natural immunity;aktif doğal bağışıklık
active officer;aktif memuru
active transport;aktif taşımacılık
active verb;etken fiil
active voice;aktif ses
active volcano;aktif volkan
active;aktif
activism;aktivizm
activist;eylemci
activity report;faaliyet Raporu
activity;aktivite
actor;aktör
actress;aktris
acts of God;Doğal afetler
actual cost;asıl maliyet
actual inventory;fiili envanter
actual;gerçek
actuality;aktüalite
actualization;gerçekleştirme
actualize;gerçekleştirmek
actualizer;actualizer
actually;aslında
actuary;aktüer
actuate;harekete geçirmek
actuating;Aktüatör
actuator;çalıştırıcı
acuity of vision;Görme keskinliği
acuity;keskinlik
aculeate;sivri
acumen;sezgi
acuminate;acuminate
acupuncture;akupunktur
acute angle;dar açı
acute hearing;akut işitme
acute mind;keskin zeka
acute pain;akut ağrı
acute sound;akut ses
acute triangle;dar üçgen
acute;akut
acutely;akut
acuteness;zekâ
acyclic;asiklik
acyl;asil
acylation;asilasyon
ad infinitum;sonsuza dek
ad interim;reklam geçici
ad libitum;istenildiği kadar
AD;AD
ad-lib;doğaçlama
adage;atasözü
adagio;ağır olarak
Adam;Adem
Adam's apple;Adam'ın elması
adamant;sert
adamantine;sarsılmaz
adamantly;inatçı bir
adapt oneself to;için kendini adapte
adapt;uyarlamak
adaptability to environment;Çevreye uyum
adaptability;adapte olabilirlik
adaptable;uyarlanabilir
adaptation;adaptasyon
adapted;uyarlanmış
adapter;adaptör
adaptive;adaptif
adaptor;adaptör
adastra;Astra ilanı
add fuel to the fire;yangına körükle gitmek
add up;toplamak
add wings to;kanatları eklemek
add;eklemek
add-on;Ayriyeten
addend;addend
addendum;ek
adder;engerek
adder's tongue;engerek dil
adderwort;adderwort
addict oneself;bağımlı olmak
addict;tiryaki
addicted;bağımlı
addiction;bağımlılık
addictive;bağımlılık yapan
adding machine;hesap makinesi
adding;ekleme
Addison's disease;Addison hastalığı
addition agent;ek madde
addition compound;ek bileşimi
addition sign;toplama işareti
addition;ilave
additional building;ek bina
additional charge;ek ücret
additional expenses;ek masraflar
additional load;ek yük
additional protocol;ek protokol
additional;ek
additive process;Ek işlem
additive;katkı
addle;şaşırtmak
addlebrained;addlebrained
addled egg;addled yumurta
addled;cılk
address;adres
addressability;addressability
addressable;adreslenebilir
addressee;alıcı
addresser;Gönderilene
addressing;adresleme
addressograph;addressograph
adduce;ileri sürmek
adduct;yaklaşımlı
adductor;adduktor
Aden;Aden
adenine;adenin
adenoid;lenf bezi
adenoma;adenomu
adenosine;adenosin
adept;usta
adequacy;yeterlik
adequate;yeterli
adequately;yeterli olarak
adequateness;yeterlilik kazanmalarında
adharma;adharma
adhere to;bağlı olmak
adhere;yapışmak
adherence;bağlılık
adherent;yapışık
adhesion force;yapışma gücü
adhesion;yapışma
adhesive plaster;yara bandı
adhesive tape;yapışkan bant
adhesive;yapıştırıcı
adhesiveness;yapışkanlık
adhibit;adhibit
adiabatic change;adyabatik değişim
adiabatic chart;adyabatik grafik
adiabatic compression;adyabatik sıkıştırma
adiabatic curve;adyabatik eğri
adiabatic equation;adyabatik denklem
adiabatic expansion;adyabatik genişleme
adiabatic lapse rate;adyabatik lapse rate
adiabatic process;Adyabatik süreç
adiabatic;adyabatik
adiathermic;adiathermic
adieu;elveda
adios;adios
adipic acid;adipik asit
adipic;adipik
adipose tissue;yağdoku
adipose;yağ
adit;galeri
adjacency;yakınlık
adjacent;bitişik
adjectival construction;sıfat yapım
adjectival;sıfat
adjective law;sıfat yasa
adjective;sıfat
adjoin;yan yana olmak
adjoining;bitişik
adjourn sine die;süresiz olarak ertelemek
adjourn the meeting;toplantıyı kesmek
adjourn;ertelemek
adjournment;erteleme
adjudge;hüküm vermek
adjudicate;ihale etmek
adjudication in bankruptcy;iflas hüküm
adjudication;hüküm
adjudicator;hakem
adjunct;ilave
adjuration;yalvarma
adjure;yalvarmak
adjust a difference;Bir fark ayarlamak
adjust;ayarlamak
adjustable;ayarlanabilir
adjuster;ayarlayıcı
adjusting button;ayar düğmesi
adjusting wrench;ayarlama anahtarı
adjusting;ayar
adjustment knob;Ayar topuzu
adjustment screw;ayar vidası
adjustment;ayarlama
adjutant general;komutanla ordu arasında iletişimi sağlayan general
adjutant;emir subayı
adjuvant;adjuvan
adlibitum;adlibitum
adman;reklâmcı
admeasure;admeasure
admeasurement;admeasurement
administer;yönetmek
administration;yönetim
administrative action;idari eylem
administrative board member;yönetim kurulu üyesi
administrative board;yönetim kurulu
administrative body;yönetim kurulu
administrative case;idari dava
administrative law;idari hukuk
administrative policy;idari politikası
administrative;idari
administrator;yönetici
admirable;takdire değer
admirably;takdire şayan
admiral superintendant;amiral superintendant
admiral;amiral
admiral's ship;amiralin gemisi
Admiralty;deniz kuvvetleri komutanlığı
admiration;hayranlık
admire;beğenmek
admirer;hayran
admiring;hayran
admissibility;kabul edilebilirlik
admissible;kabul edilebilir
admission fee;giriş ücreti
admission free;Giriş ücreti yok
admission ticket;giriş bileti
admission;kabul
admit of;meydan vermek
admit;Kabul et
admittance;giriş
admittedly;hiç kuşkusuz
admix;karıştırmak
admixture;karışım
admonish;ihtar etmek
admonition;öğüt
admonitory;uyarıcı
ado;patırtı
adobe;Adobe
adolescence;Gençlik
adolescent;genç
adopt;benimsemek
adopted child;evlatlık
adoption;Benimseme
adoptive;evlat edinen
adorable;tapılası
adoration;tapınma
adore;tapmak
adorn;süslemek
adornment;süsleme
adrenal cortex;adrenal korteks
adrenal gland;böbreküstü bezi
adrenal;adrenal
adrenalin;adrenalin
adrenaline;adrenalin
adressee;mailin muhatabı
Adrianople;Edirne'yi
Adriatic;Adriyatik
adrift;başıboş
adroit;usta
adroitly;ustalıkla
adroitness;el çabukluğu
adscititious;adscititious
adsorb;emmek
adsorbate;adsorbat
adsorbed;adsorbe
adsorbent;emici
adsorption;emme
adsorptive;emici
adulate;pohpohlamak
adulation;yaltaklanma
adulatory;yaranmaya çalışan
adult education;yetişkin eğitim
adult;yetişkin
adulterate;bozmak
adulteration;hile
adulterer;aldatan erkek
adulteress;zina yapan kadın
adulterine;adulterine
adulterous;zina yapan
adultery;zina
adulthood;yetişkinlik
adumbrate;dokundurmak
adumbration;dokundurma
adust;adust
advance guard;öncü
advance on salary;maaş ilerlemek
advance;ilerlemek
advanced;ileri
advancement;ilerleme
advances;gelişmeler
advancing;ilerleyen
advantage;avantaj
advantageous;avantajlı
advection;adveksiyon
advective;Advektif
advent;gelişi
adventitious root;adventif kök
adventitious;tesadüfi
adventive;adventif
adventure;macera
adventurer;maceraperest
adventuresome;atılgan
adventurous;maceraperest
adverb of place;yer tamlayıcısı
adverb of quality;kalitenin zarf
adverb of time;zaman zarfları
adverb;zarf
adverbial;zarf
adversary;hasım
adversative;karşıt fikir belirten
adverse;ters
adversely;olumsuz
adverseness;adverseness
adversity;sıkıntı
advert to;için reklam
advert;ilan
advertise for;ilan vererek aramak
advertise;duyurmak
advertisement;reklâm
advertising agency;reklam ajansı
advertising agent;reklam AJANSI
advertising campaign;reklam kampanyası
advertising department;reklam departmanı
advertising;reklâm
advice centre;danışma merkezi
advice;tavsiye
advisable;uygun
advisableness;advisableness
advise;öğüt vermek
advisedly;düşünüp taşınarak
advisement;advisement
adviser;danışman
advisor;danışman
advisory board;danışma kurulu
advisory committee;danışma kurulu
advisory council;Danışma Konseyi
advisory;danışma
advocacy;savunma
advocate;savunucu
adynamia;adynamia
adytum;adytum
adz(e);keser)
adze;keser
aedile;aedilis
Aegean Continental Shelf;Ege Kıta Sahanlığı
Aegean Sea;Ege Denizi
Aegean;Ege
aegis;siper
aeolian deposit;aeolian mevduat
aeolian erosion;aeolian erozyon
aeolian soil;rüzgâr kir
aeolian;aeolian
aeolotropic;aeolotropic
aeolotropy;aeolotropy
aeon;sonsuzluk
aerate;havalandırmak
aerating;havalandırma
aeration;havalandırma
aerator;havalandırıcı
aerial line;havadan hat
aerial railway;havadan demiryolu
aerial root;havadan kök
aerial ropeway;havadan ropeway
aerial stem;havadan kök
aerial;hava
aerie;tepedeki ev
aeriform;aeriform
aerify;aerify
aerobatics;uçak cambazlığı
aerobe;aerob
aerobic bacteria;aerobik bakteri
aerobic respiration;aerobik solunum
aerobic;aerobik
aerobics;aerobik
aerobiosis;aerobiyoz
aerodrome control tower;meydan kontrol kulesi
aerodrome lighting;meydan aydınlatma
aerodrome traffic;meydan trafik
aerodrome;havaalanı
aerodynamic body;aerodinamik gövde
aerodynamic;aerodinamik
aerodynamics;aerodinamik
aerodyne;havadan ağır uçak
aerofoil;kanat
aerogram;telsiz telgraf
aerogramme;aerogramme
aerograph;üfleyecileri
aerography;aerografi
aerolite;aerolit
aerologist;aerologist
aerology;aeroloji
aeromechanics;aeromechanics
aerometer;aerometre
aeronaut;balon pilotu
aeronautical engineering;Havacılık Mühendisliği
aeronautical;havacılık
aeronautics;havacılık
aeroplane;uçak
aerosol;aerosol
aerospace;havacılık
aerosphere;Aerosphere
aerostat;aerostat
aerostatic;aerostatik
aerostatics;aerostatik
aerotechnics;Çartır, hava
aerotropism;aerotropism
aery;aery
aesthete;estet
aesthetic;estetik
aesthetical;estetik
aesthetics;estetik
aestival;yaz
afar;uzaktan
affability;hoşluk
affable;nazik
affableness;affableness
affably;affably
affair;mesele
affect;etkilemek
affectation;yapmacık
affected;etkilenmiş
affectedness;etkilenme
affecting;etkileyen
affectingly;etkileyici bir tarzda
affection;sevgi
affectionate;sevecen
affectionately;sevgilerle
affective;duygusal
affiance;nişan
affidavit;beyanname
affiliate oneself with;ortaklık kendini ile
affiliate;bağlı şirket
affiliated company;bağlı şirket
affiliated;bağlı
affiliation;üyelik
affine;afin
affinity;ilgi
affirm;onaylamak
affirmation;doğrulama
affirmative sentence;olumlu cümle
affirmative;olumlu
affirmatively;onaylayarak
affix;iliştirmek
afflatus;esin
afflict;eziyet etmek
afflicted;tutulmuş
affliction;ızdırap
afflictive;acı veren
affluence;bolluk
affluent;varlıklı
afford;parası yetmek
afforest;ağaçlandırmak
afforestation;ağaçlandırma
affranchise;salıvermek
affranchisement;affranchisement
affray;kavga
affright;korkutmak
affront;hakaret
affusion;afüzyon
Afghan;Afgan
Afghanistan;Afganistan
afield;uzağa
afire;bir ateş
aflame;tutuşmuş
afloat;denizde
aflutter;titreyerek
afoot;ayakta
afore;yukarıda
afore-mentioned;bahsi geçen
afore-named;Yukarıda adı
afore-said;yukarıda sözü edilen
aforementioned;bahsi geçen
aforesaid;adı geçen
afoul;bir şeye takılmış
afraid;korkmuş
afresh;yeniden
Africa;Afrika
African;Afrika
afrit;afrit
afro;Afro
afront;AÖn
aft;kıçta
after a fashion;moda sonrası
after a while;bir süre sonra
after all is said and done;Sonuçta söylendi ve bitti
after all;hepsinden sonra
after burner;brülör sonra
after hours;saatler sonra
after one's own heart;gönlünce
after the dust settles;Toz yerleşir sonra
after you!;senden sonra!
after;sonra
after-sales service;satış sonrası servis
afterbirth;plasenta
afterbleach;afterbleach
afterburner;art yakıcı
afterburning;afterburning
afterclap;afterclap
aftercooler;son soğutucu
afterdamp;grizu patlamasından sonra kalan zehirli gaz
